UF_RES,UF_MOV,HOSPITALIZACOES,RES_LAT,RES_LON,MOV_LAT,MOV_LON
Maranhão,São Paulo,34,-5.063473525889801,-45.286406362550146,-22.250052902639116,-48.734659900719734
Maranhão,Tocantins,16,-5.063473525889801,-45.286406362550146,-10.131696777104315,-48.330725819425574
Mato Grosso,Alagoas,1,-12.916186132060574,-55.9149517572351,-9.513145847398288,-36.62481420015896
Mato Grosso,Amapá,1,-12.916186132060574,-55.9149517572351,1.446579361967846,-51.96205349152536
Mato Grosso,Bahia,2,-12.916186132060574,-55.9149517572351,-12.45234511713527,-41.72176450233577
Mato Grosso,Distrito Federal,4,-12.916186132060574,-55.9149517572351,-15.780989331973725,-47.79684222599829
Mato Grosso,Goiás,30,-12.916186132060574,-55.9149517572351,-16.021068269554988,-49.61616789197541
Mato Grosso,Maranhão,4,-12.916186132060574,-55.9149517572351,-5.063473525889801,-45.286406362550146
Mato Grosso,Mato Grosso do Sul,14,-12.916186132060574,-55.9149517572351,-20.304769734215245,-54.84700428372272
Mato Grosso,Minas Gerais,2,-12.916186132060574,-55.9149517572351,-18.42237047816257,-44.668033901736656
Mato Grosso,Paraná,23,-12.916186132060574,-55.9149517572351,-24.624367999451334,-51.617875384343
Mato Grosso,Pará,13,-12.916186132060574,-55.9149517572351,-3.96360452999938,-53.07098190581554
Mato Grosso,Piauí,1,-12.916186132060574,-55.9149517572351,-7.378677773863817,-42.96696522142286
Mato Grosso,Rio de Janeiro,1,-12.916186132060574,-55.9149517572351,-22.1927501263549,-42.66029361738904
Mato Grosso,Rondônia,23,-12.916186132060574,-55.9149517572351,-10.90442312825415,-62.84474092395724
Mato Grosso,Santa Catarina,5,-12.916186132060574,-55.9149517572351,-27.240610757469174,-50.47740300071737
Mato Grosso,São Paulo,177,-12.916186132060574,-55.9149517572351,-22.250052902639116,-48.734659900719734
Mato Grosso,Tocantins,2,-12.916186132060574,-55.9149517572351,-10.131696777104315,-48.330725819425574
Mato Grosso do Sul,Bahia,2,-20.304769734215245,-54.84700428372272,-12.45234511713527,-41.72176450233577
Mato Grosso do Sul,Espírito Santo,1,-20.304769734215245,-54.84700428372272,-19.56783026436436,-40.66688741798281
Mato Grosso do Sul,Goiás,7,-20.304769734215245,-54.84700428372272,-16.021068269554988,-49.61616789197541
Mato Grosso do Sul,Mato Grosso,14,-20.304769734215245,-54.84700428372272,-12.916186132060574,-55.9149517572351
Mato Grosso do Sul,Minas Gerais,7,-20.304769734215245,-54.84700428372272,-18.42237047816257,-44.668033901736656
Mato Grosso do Sul,Paraná,108,-20.304769734215245,-54.84700428372272,-24.624367999451334,-51.617875384343
Mato Grosso do Sul,Paraíba,1,-20.304769734215245,-54.84700428372272,-7.12044513673908,-36.83247370477853
Mato Grosso do Sul,Pará,1,-20.304769734215245,-54.84700428372272,-3.96360452999938,-53.07098190581554
Mato Grosso do Sul,Pernambuco,5,-20.304769734215245,-54.84700428372272,-8.324409775914233,-37.99762312297779
Mato Grosso do Sul,Rio Grande do Sul,5,-20.304769734215245,-54.84700428372272,-29.678839629718627,-53.320051841053065
Mato Grosso do Sul,Rio de Janeiro,1,-20.304769734215245,-54.84700428372272,-22.1927501263549,-42.66029361738904
Mato Grosso do Sul,Rondônia,2,-20.304769734215245,-54.84700428372272,-10.90442312825415,-62.84474092395724
Mato Grosso do Sul,Santa Catarina,6,-20.304769734215245,-54.84700428372272,-27.240610757469174,-50.47740300071737
Mato Grosso do Sul,Sergipe,1,-20.304769734215245,-54.84700428372272,-10.582666889769746,-37.44371522874432
Mato Grosso do Sul,São Paulo,184,-20.304769734215245,-54.84700428372272,-22.250052902639116,-48.734659900719734
Minas Gerais,Acre,1,-18.42237047816257,-44.668033901736656,-9.209710893485735,-70.47578331421067
Minas Gerais,Alagoas,2,-18.42237047816257,-44.668033901736656,-9.513145847398288,-36.62481420015896
Minas Gerais,Amazonas,1,-18.42237047816257,-44.668033901736656,-4.140190123349732,-64.6516494903481
Minas Gerais,Bahia,35,-18.42237047816257,-44.668033901736656,-12.45234511713527,-41.72176450233577
Minas Gerais,Ceará,4,-18.42237047816257,-44.668033901736656,-5.089815983830066,-39.61608178595244
Minas Gerais,Distrito Federal,80,-18.42237047816257,-44.668033901736656,-15.780989331973725,-47.79684222599829
Minas Gerais,Espírito Santo,105,-18.42237047816257,-44.668033901736656,-19.56783026436436,-40.66688741798281
Minas Gerais,Goiás,33,-18.42237047816257,-44.668033901736656,-16.021068269554988,-49.61616789197541
Minas Gerais,Maranhão,2,-18.42237047816257,-44.668033901736656,-5.063473525889801,-45.286406362550146
Minas Gerais,Mato Grosso,8,-18.42237047816257,-44.668033901736656,-12.916186132060574,-55.9149517572351
Minas Gerais,Mato Grosso do Sul,3,-18.42237047816257,-44.668033901736656,-20.304769734215245,-54.84700428372272
Minas Gerais,Paraná,16,-18.42237047816257,-44.668033901736656,-24.624367999451334,-51.617875384343
Minas Gerais,Paraíba,6,-18.42237047816257,-44.668033901736656,-7.12044513673908,-36.83247370477853
Minas Gerais,Pará,6,-18.42237047816257,-44.668033901736656,-3.96360452999938,-53.07098190581554
Minas Gerais,Pernambuco,11,-18.42237047816257,-44.668033901736656,-8.324409775914233,-37.99762312297779
Minas Gerais,Piauí,4,-18.42237047816257,-44.668033901736656,-7.378677773863817,-42.96696522142286
Minas Gerais,Rio Grande do Norte,1,-18.42237047816257,-44.668033901736656,-5.839255494364668,-36.67326985918983
Minas Gerais,Rio Grande do Sul,1,-18.42237047816257,-44.668033901736656,-29.678839629718627,-53.320051841053065
Minas Gerais,Rio de Janeiro,48,-18.42237047816257,-44.668033901736656,-22.1927501263549,-42.66029361738904
Minas Gerais,Rondônia,2,-18.42237047816257,-44.668033901736656,-10.90442312825415,-62.84474092395724
Minas Gerais,Santa Catarina,10,-18.42237047816257,-44.668033901736656,-27.240610757469174,-50.47740300071737
Minas Gerais,Sergipe,1,-18.42237047816257,-44.668033901736656,-10.582666889769746,-37.44371522874432
Minas Gerais,São Paulo,508,-18.42237047816257,-44.668033901736656,-22.250052902639116,-48.734659900719734
Minas Gerais,Tocantins,1,-18.42237047816257,-44.668033901736656,-10.131696777104315,-48.330725819425574
Paraná,Alagoas,2,-24.624367999451334,-51.617875384343,-9.513145847398288,-36.62481420015896
Paraná,Amapá,3,-24.624367999451334,-51.617875384343,1.446579361967846,-51.96205349152536
Paraná,Amazonas,1,-24.624367999451334,-51.617875384343,-4.140190123349732,-64.6516494903481
Paraná,Bahia,1,-24.624367999451334,-51.617875384343,-12.45234511713527,-41.72176450233577
Paraná,Ceará,4,-24.624367999451334,-51.617875384343,-5.089815983830066,-39.61608178595244
Paraná,Distrito Federal,3,-24.624367999451334,-51.617875384343,-15.780989331973725,-47.79684222599829
Paraná,Espírito Santo,11,-24.624367999451334,-51.617875384343,-19.56783026436436,-40.66688741798281
Paraná,Goiás,3,-24.624367999451334,-51.617875384343,-16.021068269554988,-49.61616789197541
Paraná,Mato Grosso,26,-24.624367999451334,-51.617875384343,-12.916186132060574,-55.9149517572351
Paraná,Mato Grosso do Sul,18,-24.624367999451334,-51.617875384343,-20.304769734215245,-54.84700428372272
Paraná,Minas Gerais,21,-24.624367999451334,-51.617875384343,-18.42237047816257,-44.668033901736656
Paraná,Paraíba,4,-24.624367999451334,-51.617875384343,-7.12044513673908,-36.83247370477853
Paraná,Pará,7,-24.624367999451334,-51.617875384343,-3.96360452999938,-53.07098190581554
Paraná,Pernambuco,7,-24.624367999451334,-51.617875384343,-8.324409775914233,-37.99762312297779
Paraná,Piauí,1,-24.624367999451334,-51.617875384343,-7.378677773863817,-42.96696522142286
Paraná,Rio Grande do Sul,12,-24.624367999451334,-51.617875384343,-29.678839629718627,-53.320051841053065
Paraná,Rio de Janeiro,7,-24.624367999451334,-51.617875384343,-22.1927501263549,-42.66029361738904
Paraná,Rondônia,4,-24.624367999451334,-51.617875384343,-10.90442312825415,-62.84474092395724
Paraná,Santa Catarina,253,-24.624367999451334,-51.617875384343,-27.240610757469174,-50.47740300071737
Paraná,Sergipe,2,-24.624367999451334,-51.617875384343,-10.582666889769746,-37.44371522874432
Paraná,São Paulo,61,-24.624367999451334,-51.617875384343,-22.250052902639116,-48.734659900719734
Paraíba,Amapá,3,-7.12044513673908,-36.83247370477853,1.446579361967846,-51.96205349152536
Paraíba,Bahia,2,-7.12044513673908,-36.83247370477853,-12.45234511713527,-41.72176450233577
Paraíba,Ceará,15,-7.12044513673908,-36.83247370477853,-5.089815983830066,-39.61608178595244
Paraíba,Goiás,2,-7.12044513673908,-36.83247370477853,-16.021068269554988,-49.61616789197541
Paraíba,Maranhão,4,-7.12044513673908,-36.83247370477853,-5.063473525889801,-45.286406362550146
Paraíba,Mato Grosso,3,-7.12044513673908,-36.83247370477853,-12.916186132060574,-55.9149517572351
Paraíba,Minas Gerais,6,-7.12044513673908,-36.83247370477853,-18.42237047816257,-44.668033901736656
Paraíba,Paraná,5,-7.12044513673908,-36.83247370477853,-24.624367999451334,-51.617875384343
Paraíba,Pernambuco,188,-7.12044513673908,-36.83247370477853,-8.324409775914233,-37.99762312297779
Paraíba,Rio Grande do Norte,22,-7.12044513673908,-36.83247370477853,-5.839255494364668,-36.67326985918983
Paraíba,Rio Grande do Sul,4,-7.12044513673908,-36.83247370477853,-29.678839629718627,-53.320051841053065
Paraíba,Rio de Janeiro,12,-7.12044513673908,-36.83247370477853,-22.1927501263549,-42.66029361738904
Paraíba,Sergipe,1,-7.12044513673908,-36.83247370477853,-10.582666889769746,-37.44371522874432
Paraíba,São Paulo,8,-7.12044513673908,-36.83247370477853,-22.250052902639116,-48.734659900719734
Pará,Amapá,179,-3.96360452999938,-53.07098190581554,1.446579361967846,-51.96205349152536
Pará,Amazonas,32,-3.96360452999938,-53.07098190581554,-4.140190123349732,-64.6516494903481
Pará,Ceará,3,-3.96360452999938,-53.07098190581554,-5.089815983830066,-39.61608178595244
Pará,Distrito Federal,4,-3.96360452999938,-53.07098190581554,-15.780989331973725,-47.79684222599829
Pará,Goiás,17,-3.96360452999938,-53.07098190581554,-16.021068269554988,-49.61616789197541
Pará,Maranhão,17,-3.96360452999938,-53.07098190581554,-5.063473525889801,-45.286406362550146
Pará,Mato Grosso,38,-3.96360452999938,-53.07098190581554,-12.916186132060574,-55.9149517572351
Pará,Minas Gerais,6,-3.96360452999938,-53.07098190581554,-18.42237047816257,-44.668033901736656
Pará,Paraná,3,-3.96360452999938,-53.07098190581554,-24.624367999451334,-51.617875384343
Pará,Paraíba,1,-3.96360452999938,-53.07098190581554,-7.12044513673908,-36.83247370477853
Pará,Pernambuco,3,-3.96360452999938,-53.07098190581554,-8.324409775914233,-37.99762312297779
Pará,Piauí,5,-3.96360452999938,-53.07098190581554,-7.378677773863817,-42.96696522142286
